SS,LL,STIME,LTIME
32.08,32.41,today,in 2 weeks
29.11,29.87,today,in 2 weeks
15.39,16.16,today,in 2 weeks
35.35,38.89,today,in 2 weeks
84.89,97.62,today,in 2 weeks
53.13,63.75,today,in 2 weeks
39.22,49.03,today,in 2 weeks
69.06,93.23,today,in 2 weeks
31.26,46.89,today,in 2 weeks
47.35,82.86,today,in 2 weeks
63.72,64.36,today,in 1 month
47.52,48.95,today,in 1 month
32.29,33.89,today,in 1 month
56.53,62.18,today,in 1 month
17.83,20.51,today,in 1 month
78.86,94.63,today,in 1 month
83.59,104.49,today,in 1 month
44.23,59.71,today,in 1 month
15.69,23.55,today,in 1 month
72.25,126.44,today,in 1 month
48.08,48.56,today,in 2 months
84.11,86.62,today,in 2 months
18.55,19.48,today,in 2 months
69.14,76.05,today,in 2 months
31.98,36.77,today,in 2 months
51.16,61.39,today,in 2 months
56.25,70.31,today,in 2 months
43.55,58.79,today,in 2 months
24.42,36.63,today,in 2 months
30.35,53.11,today,in 2 months
64.21,64.85,today,in 6 months
66.76,68.76,today,in 6 months
85.67,89.95,today,in 6 months
25.46,28.01,today,in 6 months
53.62,61.66,today,in 6 months
37.12,44.54,today,in 6 months
23.57,29.46,today,in 6 months
49.39,66.69,today,in 6 months
49.44,74.16,today,in 6 months
39.22,68.64,today,in 6 months
35.52,35.88,in 2 weeks,in 1 month
58.13,59.87,in 2 weeks,in 1 month
39.31,41.28,in 2 weeks,in 1 month
62.96,69.26,in 2 weeks,in 1 month
27.23,31.05,in 2 weeks,in 1 month
68.18,81.82,in 2 weeks,in 1 month
39.01,48.76,in 2 weeks,in 1 month
78.24,105.62,in 2 weeks,in 1 month
49.51,74.27,in 2 weeks,in 1 month
19.56,34.23,in 2 weeks,in 1 month
46.08,46.54,in 2 weeks,in 2 months
67.18,69.22,in 2 weeks,in 2 months
53.95,56.65,in 2 weeks,in 2 months
38.71,42.58,in 2 weeks,in 2 months
52.42,60.28,in 2 weeks,in 2 months
29.84,35.81,in 2 weeks,in 2 months
29.61,37.01,in 2 weeks,in 2 months
45.39,61.28,in 2 weeks,in 2 months
31.15,46.73,in 2 weeks,in 2 months
60.28,105.49,in 2 weeks,in 2 months
26.79,27.06,in 1 month,in 2 months
55.71,57.37,in 1 month,in 2 months
19.25,20.21,in 1 month,in 2 months
78.31,86.14,in 1 month,in 2 months
33.76,37.14,in 1 month,in 2 months
71.65,85.98,in 1 month,in 2 months
58.09,72.63,in 1 month,in 2 months
26.59,35.91,in 1 month,in 2 months
30.32,45.48,in 1 month,in 2 months
40.25,70.44,in 1 month,in 2 months
18.98,19.17,in 1 month,in 6 months
43.71,45.02,in 1 month,in 6 months
64.43,67.65,in 1 month,in 6 months
58.44,64.28,in 1 month,in 6 months
33.65,38.69,in 1 month,in 6 months
67.21,80.64,in 1 month,in 6 months
41.12,51.39,in 1 month,in 6 months
80.11,108.15,in 1 month,in 6 months
63.82,95.73,in 1 month,in 6 months
22.97,40.21,in 1 month,in 6 months